iter	Accuracy	Logloss
0	0.8184583333	0.6661772247
1	0.819125	0.6408900729
2	0.819625	0.6185213963
3	0.818875	0.5995032865
4	0.8192083333	0.581658596
5	0.8185416667	0.5660464779
6	0.8185416667	0.5525441853
7	0.8187916667	0.5400518589
8	0.82	0.5285755079
9	0.8202916667	0.5185351829
10	0.8205416667	0.5093135817
11	0.820875	0.5020467639
12	0.8207916667	0.4949926722
13	0.8205	0.4886767327
14	0.8195	0.4842273574
15	0.819875	0.4789303675
16	0.820375	0.4741633056
17	0.8204166667	0.4701437647
18	0.820125	0.4663481181
19	0.82	0.462973813
20	0.8205416667	0.4598415206
21	0.820625	0.4571099789
22	0.8209583333	0.4549557578
23	0.8208333333	0.452655847
24	0.821375	0.4503426779
25	0.82175	0.4482173666
26	0.8214583333	0.4463595568
27	0.8214166667	0.4449643677
28	0.8213333333	0.44341263
29	0.82125	0.4420715666
30	0.8214166667	0.4408531627
31	0.8214166667	0.4397611556
32	0.8210833333	0.4388271022
33	0.8212083333	0.4379852947
34	0.8215416667	0.4372357401
35	0.8217916667	0.4362854966
36	0.8219583333	0.4354089116
37	0.8220833333	0.43466055
38	0.82225	0.4340018295
39	0.822375	0.433132058
40	0.8223333333	0.432543211
41	0.8224166667	0.4319110247
42	0.8225833333	0.4313653838
43	0.822625	0.430879239
44	0.8226666667	0.4303479566
45	0.822625	0.429860458
46	0.8225	0.4292319908
47	0.822625	0.4289233059
48	0.822625	0.4285047562
49	0.8227916667	0.428140447
50	0.8227916667	0.4277814395
51	0.8227083333	0.4275318892
52	0.8231666667	0.4271948423
53	0.82325	0.4268515423
54	0.8233333333	0.4265062307
55	0.8234583333	0.426197733
56	0.8234166667	0.4258509792
57	0.8234166667	0.4255277226
58	0.8234583333	0.4251122566
59	0.8235416667	0.4248676757
60	0.8234166667	0.4245125305
61	0.8235416667	0.4243099553
62	0.8235416667	0.4240631941
63	0.8237916667	0.4237489132
64	0.82375	0.4234997004
65	0.8237916667	0.423233029
66	0.82375	0.4230505286
67	0.8237083333	0.4227612329
68	0.8238333333	0.4226382225
69	0.8239583333	0.422379044
70	0.8239166667	0.4221474386
71	0.823875	0.4219462384
72	0.8239166667	0.4217378266
73	0.823875	0.4215850206
74	0.8240833333	0.4213399369
75	0.82425	0.4210498207
76	0.8242083333	0.420847463
77	0.8242916667	0.4206553939
78	0.8242916667	0.4204389328
79	0.82425	0.4202532185
80	0.8242916667	0.4200680388
81	0.8243333333	0.4198844782
82	0.8244166667	0.4197164076
83	0.8244166667	0.419572074
84	0.824375	0.4193660539
85	0.8245833333	0.4191674931
86	0.8245416667	0.4190228285
87	0.824625	0.4188164252
88	0.8247083333	0.4186407073
89	0.8245416667	0.4184302374
90	0.824625	0.4183166017
91	0.82475	0.418215379
92	0.82475	0.4180593174
93	0.82475	0.4178664773
94	0.8247916667	0.4177619277
95	0.825125	0.4175529388
96	0.8251666667	0.4173880591
97	0.8252083333	0.4172518433
98	0.8251666667	0.4169674286
99	0.825125	0.4168980245
100	0.82525	0.4167278238
101	0.8252916667	0.4166292883
102	0.8254583333	0.4164372693
103	0.825375	0.4162876406
104	0.8253333333	0.416116125
105	0.825625	0.4158915573
106	0.8255416667	0.4157235398
107	0.82575	0.4154666811
108	0.82575	0.4152942829
109	0.8257083333	0.415148977
110	0.8259583333	0.4149622531
111	0.8259166667	0.4148400466
112	0.826125	0.4146645814
113	0.8262083333	0.414469213
114	0.826125	0.4143448488
115	0.8260833333	0.4142050846
116	0.826125	0.4140764483
117	0.8264166667	0.4139906072
118	0.8264166667	0.4138761737
119	0.8265	0.4137212837
120	0.826375	0.4135691231
121	0.8264166667	0.4134689934
122	0.8265416667	0.4133717551
123	0.8264583333	0.4132787023
124	0.8264166667	0.4131420404
125	0.8264583333	0.4129717121
126	0.8265	0.4128480987
127	0.8267083333	0.4127313044
128	0.82675	0.4125999325
129	0.8267916667	0.4125018638
130	0.8268333333	0.4123800227
131	0.8266666667	0.4122375657
132	0.827	0.4120914471
133	0.8269583333	0.4120098412
134	0.82675	0.4118232674
135	0.8268333333	0.4116421622
136	0.8267083333	0.4115382935
137	0.8268333333	0.4114277336
138	0.8268333333	0.4112994474
139	0.827	0.4111484527
140	0.8270416667	0.4110656134
141	0.827125	0.411010703
142	0.8271666667	0.4108826002
143	0.8272083333	0.4106899337
144	0.8272083333	0.4105479425
145	0.8272083333	0.4103971478
146	0.8272083333	0.4102727204
147	0.827125	0.4101399249
148	0.8272083333	0.4100618596
149	0.8273333333	0.4099092008
150	0.827375	0.4097709567
151	0.8276666667	0.409698104
152	0.82775	0.4095970283
153	0.8277083333	0.409412568
154	0.8277083333	0.4093075059
155	0.82775	0.4091802024
156	0.8276666667	0.4090475513
157	0.8276666667	0.4089126704
158	0.82775	0.4087926715
159	0.8279166667	0.4087010384
160	0.8280416667	0.4086151725
161	0.828125	0.408465287
162	0.8281666667	0.4083385612
163	0.82825	0.4081938784
164	0.828125	0.408099967
165	0.8282083333	0.4079988514
166	0.8283333333	0.4078209619
167	0.8282916667	0.4076642859
168	0.8285	0.4075812814
169	0.828625	0.4074838154
170	0.8287083333	0.4073599959
171	0.8287083333	0.4073106185
172	0.8287083333	0.4070919267
173	0.82875	0.4069672876
174	0.82875	0.4068694272
175	0.8287083333	0.4066808847
176	0.8287916667	0.4065461902
177	0.82875	0.4064408729
178	0.829	0.4062971396
179	0.829	0.4061422527
180	0.829	0.4060471733
181	0.8290833333	0.4059302561
182	0.8292916667	0.405814539
183	0.8293333333	0.405698724
184	0.829125	0.4055225523
185	0.8291666667	0.405439165
186	0.8292916667	0.4052618431
187	0.829375	0.4051055968
188	0.8292083333	0.4050555063
189	0.8292083333	0.404975709
190	0.82925	0.4048522745
191	0.8292916667	0.4047664091
192	0.8294166667	0.4046282224
193	0.8295	0.4045457525
194	0.8295	0.4044459196
195	0.8295416667	0.4043142617
196	0.8297916667	0.4041847369
197	0.8299583333	0.4040175568
198	0.8299583333	0.4039037504
199	0.8299166667	0.403806132
200	0.8299583333	0.4036930153
201	0.83	0.4035662596
202	0.830125	0.4034470202
203	0.8302083333	0.4032843147
204	0.8304166667	0.4031330117
205	0.8304166667	0.4029844809
206	0.8304583333	0.4028394488
207	0.8304583333	0.4027599797
208	0.830625	0.402603428
209	0.8306666667	0.40250079
210	0.8305833333	0.4023832476
211	0.8305416667	0.4022186325
212	0.8305416667	0.4020823587
213	0.8304583333	0.4019840836
214	0.830625	0.4018664746
215	0.830625	0.4018048757
216	0.8308333333	0.401656888
217	0.8309166667	0.4014977968
218	0.830875	0.4013800004
219	0.830875	0.4011837371
220	0.8308333333	0.4009808519
221	0.8308333333	0.4008461877
222	0.830875	0.400717539
223	0.8312083333	0.400539774
224	0.8311666667	0.4004915004
225	0.83125	0.4003339963
226	0.831125	0.4002176727
227	0.8313333333	0.4001041576
228	0.831375	0.4000017293
229	0.831375	0.399919144
230	0.8312916667	0.3997631429
231	0.831375	0.3996233495
232	0.8314166667	0.3995009588
233	0.8314583333	0.399352885
234	0.8314583333	0.3991848397
235	0.8315833333	0.399053022
236	0.8315833333	0.3989126357
237	0.8314166667	0.3987105544
238	0.8314166667	0.3985500537
239	0.831625	0.3983882445
240	0.83175	0.398322601
241	0.83175	0.3982023626
242	0.8318333333	0.398152972
243	0.8319166667	0.3979970768
244	0.8319583333	0.3979392458
245	0.8320416667	0.3977179356
246	0.8320833333	0.3975368556
247	0.832	0.3973805477
248	0.8320833333	0.3972785849
249	0.832125	0.397144145
250	0.8322083333	0.3970165347
251	0.8321666667	0.3968962628
252	0.8322083333	0.3968096032
253	0.83225	0.3966797494
254	0.8324583333	0.3965157303
255	0.8324583333	0.3964086766
256	0.8324583333	0.3962815228
257	0.8324166667	0.3960852224
258	0.8324166667	0.3959578402
259	0.832375	0.3958599642
260	0.8322916667	0.3956821538
261	0.832375	0.3956004643
262	0.832375	0.3954924497
263	0.832375	0.3953742195
264	0.8322916667	0.3951773838
265	0.832375	0.3950664116
266	0.8324166667	0.3949449106
267	0.8325833333	0.3947739595
268	0.8325416667	0.3946413756
269	0.832625	0.394533705
270	0.8326666667	0.3944187528
271	0.8327083333	0.3943366917
272	0.8327083333	0.3942122075
273	0.832625	0.3940880557
274	0.832625	0.3939065273
275	0.8326666667	0.3937674801
276	0.8327083333	0.3936728423
277	0.8327083333	0.3935814707
278	0.8330416667	0.3934018794
279	0.8330416667	0.3933104431
280	0.8332083333	0.3931277159
281	0.833125	0.3930354567
282	0.833375	0.3929024897
283	0.8335	0.3927902375
284	0.833625	0.3926120469
285	0.8335	0.392526171
286	0.8335416667	0.3924466017
287	0.8335	0.3923251581
288	0.833625	0.3921572097
289	0.8339583333	0.3920415757
290	0.8340833333	0.3919247109
291	0.834	0.3917766772
292	0.83425	0.391643392
293	0.8343333333	0.3915322526
294	0.8345833333	0.3914231279
295	0.834625	0.3912813847
296	0.834625	0.3911407541
297	0.8348333333	0.3909801685
298	0.8347083333	0.3908523015
299	0.8346666667	0.3906952691
300	0.8348333333	0.3905045089
301	0.8348333333	0.3904341544
302	0.835	0.3902790867
303	0.834875	0.3901331531
304	0.8350833333	0.3900605823
305	0.835125	0.3899089386
306	0.8351666667	0.3897903074
307	0.83525	0.3897069369
308	0.8351666667	0.3895501458
309	0.8352083333	0.3894937514
310	0.8352083333	0.3894245997
311	0.8352083333	0.3893352577
312	0.835375	0.3891670968
313	0.8354583333	0.3890286736
314	0.8352916667	0.3888782115
315	0.8355833333	0.3887620443
316	0.8355833333	0.3886545919
317	0.8355833333	0.3885373603
318	0.835625	0.3884238118
319	0.835625	0.3883196891
320	0.8357916667	0.3881474727
321	0.8359166667	0.3880249704
322	0.8360833333	0.3878304004
323	0.836	0.3877496621
324	0.8360416667	0.3876399041
325	0.8360416667	0.3875500329
326	0.8360416667	0.3874539673
327	0.8362083333	0.3873027031
328	0.8364166667	0.3871413168
329	0.8362916667	0.3869884465
330	0.8362916667	0.3868198318
331	0.83625	0.3867086995
332	0.83625	0.3866257299
333	0.8363333333	0.38650429
334	0.8364166667	0.3864022497
335	0.8364166667	0.3863060684
336	0.8365416667	0.3862088259
337	0.8366666667	0.3860868978
338	0.8367083333	0.3859872198
339	0.8367083333	0.3858110139
340	0.83675	0.3856722179
341	0.8367916667	0.3856017092
342	0.836875	0.3855381484
343	0.836875	0.3854610011
