iter	Passed	Remaining
0	5	2629
1	9	2371
2	14	2389
3	18	2322
4	22	2268
5	27	2298
6	32	2296
7	37	2284
8	41	2275
9	46	2289
10	51	2289
11	56	2282
12	61	2298
13	66	2308
14	70	2268
15	74	2267
16	79	2257
17	83	2240
18	88	2231
19	93	2233
20	97	2232
21	102	2225
22	107	2222
23	111	2211
24	115	2202
25	120	2193
26	125	2203
27	130	2195
28	134	2181
29	138	2172
30	143	2173
31	147	2162
32	152	2152
33	157	2158
34	161	2150
35	165	2138
36	170	2128
37	175	2130
38	179	2120
39	183	2111
40	188	2108
41	193	2104
42	197	2101
43	202	2094
44	207	2095
45	211	2086
46	215	2078
47	220	2074
48	224	2070
49	229	2062
50	233	2057
51	239	2061
52	243	2055
53	248	2050
54	252	2045
55	257	2040
56	261	2033
57	266	2031
58	271	2032
59	276	2030
60	281	2027
61	287	2027
62	291	2024
63	296	2020
64	301	2017
65	306	2013
66	310	2008
67	315	2001
68	320	2000
69	324	1995
70	329	1988
71	334	1985
72	338	1980
73	342	1974
74	347	1968
75	352	1966
76	356	1959
77	361	1953
78	365	1949
79	370	1945
80	374	1939
81	379	1934
82	383	1928
83	388	1922
84	392	1916
85	396	1910
86	401	1905
87	405	1899
88	410	1893
89	414	1889
90	419	1885
91	423	1878
92	427	1872
93	432	1868
94	436	1862
95	441	1857
96	445	1852
97	450	1847
98	454	1841
99	458	1835
100	463	1831
101	467	1825
102	472	1819
103	476	1813
104	480	1807
105	485	1802
106	489	1798
107	494	1794
108	499	1790
109	503	1785
110	507	1779
111	511	1773
112	516	1768
113	520	1763
114	525	1758
115	529	1753
116	533	1748
117	538	1742
118	542	1736
119	546	1731
120	550	1725
121	555	1719
122	559	1715
123	564	1711
124	568	1706
125	573	1701
126	577	1697
127	582	1692
128	586	1687
129	591	1682
130	595	1676
131	599	1670
132	603	1665
133	607	1659
134	611	1654
135	615	1648
136	620	1643
137	624	1638
138	628	1632
139	632	1627
140	636	1621
141	640	1615
142	645	1610
143	649	1605
144	653	1599
145	657	1593
146	661	1588
147	665	1583
148	669	1577
149	673	1572
150	677	1566
151	681	1561
152	685	1555
153	689	1549
154	693	1544
155	698	1539
156	702	1535
157	706	1530
158	711	1525
159	715	1519
160	719	1514
161	723	1509
162	727	1504
163	731	1499
164	735	1494
165	740	1489
166	744	1484
167	748	1479
168	752	1474
169	757	1469
170	761	1464
171	765	1459
172	769	1455
173	774	1450
174	778	1445
175	782	1441
176	786	1436
177	791	1431
178	795	1425
179	799	1420
180	803	1416
181	807	1411
182	812	1406
183	816	1402
184	821	1398
185	825	1393
186	829	1388
187	834	1384
